Bulan,Trimester,Kategori_Risiko,Hari_Ke,No_Tugas,Tugas_Harian,Kategori_Aktivitas
2,Trimester 1,Risiko Tinggi,3,3,Gerakkan jari-jari kaki dan tekuk pergelangan kaki perlahan di atas kasur.,Aktivitas & Istirahat
2,Trimester 1,Risiko Tinggi,3,4,Ganti pakaian dalam dan piyama katun longgar yang mudah dilepas-pasang di ranjang.,Higienitas & Self-Care
2,Trimester 1,Risiko Tinggi,3,5,Urus izin istirahat sakit / cuti medis kehamilan dari tempat kerja dengan surat keterangan dokter.,Persiapan Praktis
2,Trimester 1,Risiko Tinggi,4,1,Makan siang bubur tim beras halus campur kaldu ayam kampung tanpa lemak di kasur.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Tinggi,4,2,Konsumsi obat penguat kandungan dosis siang tepat waktu sesuai instruksi dokter.,Vitamin & Obat
2,Trimester 1,Risiko Tinggi,4,3,Pertahankan tirah baring penuh dan delegasikan seluruh aktivitas fisik ke pasangan.,Aktivitas & Istirahat
2,Trimester 1,Risiko Tinggi,4,4,Oleskan lotion anti-ruam/pelembap kulit pada area punggung dan bokong untuk cegah lecet ranjang.,Higienitas & Self-Care
2,Trimester 1,Risiko Tinggi,4,5,"Letakkan stok tisu basah, kantong muntah higienis, dan air mineral di laci samping ranjang.",Persiapan Praktis
2,Trimester 1,Risiko Tinggi,5,1,Konsumsi puree apel rebus hangat untuk meredakan lambung bergas pada sore hari.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Tinggi,5,2,Minum suplemen neuroprotektif atau asam folat lanjutan di tempat tidur.,Vitamin & Obat
2,Trimester 1,Risiko Tinggi,5,3,Ubah posisi baring secara perlahan setiap 2 jam untuk mencegah pegal di kasur.,Aktivitas & Istirahat
2,Trimester 1,Risiko Tinggi,5,4,Bersihkan area kewanitaan secara teratur di kasur dengan air hangat bersih mengalir dari botol cebok.,Higienitas & Self-Care
2,Trimester 1,Risiko Tinggi,5,5,Pastikan colokan charger ponsel dan lampu tidur mudah dijangkau dari atas kasur.,Persiapan Praktis
2,Trimester 1,Risiko Tinggi,6,1,Makan malam sup krim kentang lunak hangat dalam posisi semi-Fowler (setengah duduk).,Nutrisi & Hidrasi
2,Trimester 1,Risiko Tinggi,6,2,Konsumsi obat penguat kandungan dosis malam tepat waktu sebelum tidur di ranjang.,Vitamin & Obat
2,Trimester 1,Risiko Tinggi,6,3,Dengarkan audio meditasi kehamilan di tempat tidur untuk ketenangan sistem saraf.,Aktivitas & Istirahat
2,Trimester 1,Risiko Tinggi,6,4,Minta pendamping menyisir rambut dan memijat lembut kulit kepala di tempat tidur.,Higienitas & Self-Care
2,Trimester 1,Risiko Tinggi,6,5,Koordinasikan kesiapan kendaraan keluarga agar selalu dalam kondisi tangki bensin penuh.,Persiapan Praktis
2,Trimester 1,Risiko Tinggi,7,1,Minum air putih bersuhu ruang via sedotan fleksibel sebelum tidur malam.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Tinggi,7,2,Minta pendamping memeriksa kelengkapan dan jadwal konsumsi obat untuk esok hari.,Vitamin & Obat
2,Trimester 1,Risiko Tinggi,7,3,Tidur malam penuh di kasur dengan suhu ruangan sejuk dan penyangga bantal tubuh.,Aktivitas & Istirahat
2,Trimester 1,Risiko Tinggi,7,4,Oleskan minyak esensial lavender encer pada bantal ranjang untuk membantu ketenangan tidur.,Higienitas & Self-Care
2,Trimester 1,Risiko Tinggi,7,5,Simpan nomor telepon sopir/kerabat siaga yang dapat mengantar ke RS kapan pun.,Persiapan Praktis
3,Trimester 1,Risiko Rendah,1,1,Awali hari dengan segelas jus wortel dan apel segar buatan sendiri tanpa pemanis.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Rendah,1,2,Minum suplemen asam folat harian sesudah makan pagi.,Vitamin & Obat
3,Trimester 1,Risiko Rendah,1,3,Jalan kaki pagi dengan tempo stabil selama 20-25 menit di lintasan datar.,Aktivitas & Istirahat
3,Trimester 1,Risiko Rendah,1,4,Lakukan perawatan gigi rutin dengan benang gigi (dental floss) secara perlahan.,Higienitas & Self-Care
3,Trimester 1,Risiko Rendah,1,5,Susun rencana anggaran biaya pemeriksaan trimester kedua dan persalinan bersama pasangan.,Persiapan Praktis
3,Trimester 1,Risiko Rendah,2,1,"Santap sarapan roti gandum isi telur rebus matang, tomat, dan keju pasteurisasi.",Nutrisi & Hidrasi
3,Trimester 1,Risiko Rendah,2,2,Konsumsi suplemen prenatal multivitamin lengkap setelah sarapan.,Vitamin & Obat
3,Trimester 1,Risiko Rendah,2,3,Latihan peregangan panggul (cat-cow pose) di atas matras senam secara perlahan.,Aktivitas & Istirahat
3,Trimester 1,Risiko Rendah,2,4,Ganti bra dengan bra nirkawat (wire-free maternity bra) berbahan katun elastis.,Higienitas & Self-Care
3,Trimester 1,Risiko Rendah,2,5,Mulai survei rumah sakit bersalin atau klinik bersalin yang sesuai dengan preferensi keluarga.,Persiapan Praktis
3,Trimester 1,Risiko Rendah,3,1,Penuhi target 8 gelas air mineral besar sepanjang hari dengan botol pengingat waktu.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Rendah,3,2,Minum suplemen omega-3 prenatal (asam folat + DHA) setelah makan siang.,Vitamin & Obat
3,Trimester 1,Risiko Rendah,3,3,Istirahat siang 30 menit dalam posisi berbaring miring ke kiri.,Aktivitas & Istirahat
3,Trimester 1,Risiko Rendah,3,4,Mandi air segar dan gunakan sabun pembersih badan berpelembap tinggi.,Higienitas & Self-Care
3,Trimester 1,Risiko Rendah,3,5,Buat daftar pertanyaan yang akan dikonsultasikan pada jadwal kontrol USG berikutnya.,Persiapan Praktis
3,Trimester 1,Risiko Rendah,4,1,Makan siang gado-gado sayur matang dengan telur rebus dan lontong higienis.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Rendah,4,2,Jaga keteraturan minum vitamin dengan mencocokkan waktu sarapan harian.,Vitamin & Obat
3,Trimester 1,Risiko Rendah,4,3,Latihan senam kegel 3 set untuk memperkuat otot dasar panggul sejak dini.,Aktivitas & Istirahat
3,Trimester 1,Risiko Rendah,4,4,"Mulai oleskan stretch mark cream atau bio-oil pada area perut, payudara, dan pinggul.",Higienitas & Self-Care
3,Trimester 1,Risiko Rendah,4,5,Bersihkan dan sortir lemari pakaian untuk memisahkan baju yang sudah mulai sempit.,Persiapan Praktis
3,Trimester 1,Risiko Rendah,5,1,Ngemil buah pepaya matang potong dingin untuk membantu melancarkan pencernaan.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Rendah,5,2,Konsumsi suplemen vitamin D3 1000 IU harian untuk penyerapan kalsium.,Vitamin & Obat
3,Trimester 1,Risiko Rendah,5,3,Peregangan punggung atas dan bahu untuk memperbaiki postur tubuh.,Aktivitas & Istirahat
3,Trimester 1,Risiko Rendah,5,4,Gunakan alas kaki datar dengan sol karet empuk yang tidak licin.,Higienitas & Self-Care
3,Trimester 1,Risiko Rendah,5,5,Diskusikan rencana pengumuman kehamilan kepada keluarga besar dan rekan kerja.,Persiapan Praktis
3,Trimester 1,Risiko Rendah,6,1,Santap sup iga sapi tanpa lemak dengan wortel dan buncis matang untuk makan malam.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Rendah,6,2,Minum tablet kalsium malam sesudah makan malam dengan air putih.,Vitamin & Obat
3,Trimester 1,Risiko Rendah,6,3,Jalan santai sore 15 menit sambil menikmati udara luar ruangan.,Aktivitas & Istirahat
3,Trimester 1,Risiko Rendah,6,4,Cek seluruh produk perawatan kulit (skincare) dan pastikan bebas dari retinol dan asam salisilat dosis tinggi.,Higienitas & Self-Care
3,Trimester 1,Risiko Rendah,6,5,Cari informasi mengenai kelas senam hamil dan edukasi menyusui di faskes sekitar.,Persiapan Praktis
3,Trimester 1,Risiko Rendah,7,1,Minum segelas susu pasteurisasi hangat sebelum tidur malam.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Rendah,7,2,Periksa masa berlaku dokumen kependudukan (KTP, KK, buku nikah) untuk administrasi lahir.,Vitamin & Obat
3,Trimester 1,Risiko Rendah,7,3,Tidur malam berkualitas 8-9 jam dengan bantal penyangga perut mini.,Aktivitas & Istirahat
3,Trimester 1,Risiko Rendah,7,4,Lakukan pijat lembut mandiri pada area betis dan telapak kaki sebelum tidur.,Higienitas & Self-Care
3,Trimester 1,Risiko Rendah,7,5,Periksa masa berlaku dokumen kependudukan (KTP, KK, buku nikah) untuk administrasi lahir.,Persiapan Praktis
3,Trimester 1,Risiko Sedang,1,1,Minum air perasan jeruk manis hangat dicampur madu alami setelah bangun tidur.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Sedang,1,2,Konsumsi obat anti-mual resep dokter di pagi hari jika masih terasa mual.,Vitamin & Obat
3,Trimester 1,Risiko Sedang,1,3,Jalan santai ringan di dalam rumah selama 15 menit terbagi dalam 2 sesi.,Aktivitas & Istirahat
3,Trimester 1,Risiko Sedang,1,4,Kumur dengan larutan penyegar non-alkohol sesudah sarapan untuk menjaga kesegaran napas.,Higienitas & Self-Care
3,Trimester 1,Risiko Sedang,1,5,Riset biaya persalinan dan fasilitas ruang rawat inap RS rujukan dari website resmi/telepon.,Persiapan Praktis
3,Trimester 1,Risiko Sedang,2,1,Konsumsi roti panggang dengan olesan selai kacang murni dan irisan buah pisang.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Sedang,2,2,Minum asam folat dan vitamin prenatal harian sesudah makan sarapan.,Vitamin & Obat
3,Trimester 1,Risiko Sedang,2,3,Istirahat baring siang terjadwal 1 jam di kasur dengan kaki diangkat sedikit.,Aktivitas & Istirahat
3,Trimester 1,Risiko Sedang,2,4,Gunakan maternity bra berbahan lembut yang menopang payudara tanpa menekan kencang.,Higienitas & Self-Care
3,Trimester 1,Risiko Sedang,2,5,Catat poin-poin pertanyaan mengenai batasan aktivitas fisik untuk ditanyakan ke dokter.,Persiapan Praktis
3,Trimester 1,Risiko Sedang,3,1,Pastikan minum 6-7 gelas air putih bersuhu ruang terdistribusi merata per jam.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Sedang,3,2,Konsumsi suplemen zat besi mikro atau multivitamin sesudah makan siang.,Vitamin & Obat
3,Trimester 1,Risiko Sedang,3,3,Peregangan lembut otot panggul sambil duduk di kursi berespon tebal.,Aktivitas & Istirahat
3,Trimester 1,Risiko Sedang,3,4,Mandi menggunakan sandal anti-slip di kamar mandi dan gunakan sabun mandi tanpa SLS.,Higienitas & Self-Care
3,Trimester 1,Risiko Sedang,3,5,Minta pasangan merapikan lemari dan memindahkan pakaian yang sering dipakai ke rak setinggi pinggang.,Persiapan Praktis
3,Trimester 1,Risiko Sedang,4,1,Makan siang nasi pulen dengan sayur sop oyong soun dan perkedel tahu panggang.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Sedang,4,2,Beri jeda minimal 2 jam antara konsumsi suplemen dan produk susu kalsium.,Vitamin & Obat
3,Trimester 1,Risiko Sedang,4,3,Hindari berdiri lama di dapur atau antrean lebih dari 10 menit.,Aktivitas & Istirahat
3,Trimester 1,Risiko Sedang,4,4,Oleskan minyak zaitun murni atau minyak almond pada area perut yang mulai membesar.,Higienitas & Self-Care
3,Trimester 1,Risiko Sedang,4,5,Atur pengingat jadwal kontrol USG trimester pertama akhir di kalender ponsel.,Persiapan Praktis
3,Trimester 1,Risiko Sedang,5,1,Santap pudding buah buatan sendiri rendah gula sebagai camilan sore kaya serat.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Sedang,5,2,Minum vitamin penunjang kehamilan trimester 1 akhir tepat waktu.,Vitamin & Obat
3,Trimester 1,Risiko Sedang,5,3,Lakukan relaksasi pernapasan 15 menit di kursi santai dengan musik tenang.,Aktivitas & Istirahat
3,Trimester 1,Risiko Sedang,5,4,Ganti pakaian dalam berbahan katun berdaya serap tinggi minimal 3 kali sehari.,Higienitas & Self-Care
3,Trimester 1,Risiko Sedang,5,5,Simpan nomor kontak ambulans RS rujukan utama dan RS alternatif di buku telepon keluarga.,Persiapan Praktis
3,Trimester 1,Risiko Sedang,6,1,Makan malam ikan gurame kukus jahe dan sayur labu siam rebus yang lembut.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Sedang,6,2,Konsumsi tablet kalsium harian sesudah makan malam dengan segelas air mineral.,Vitamin & Obat
3,Trimester 1,Risiko Sedang,6,3,Rebahkan tubuh di sofa dengan kaki diangkat setinggi dada selama 25 menit.,Aktivitas & Istirahat
3,Trimester 1,Risiko Sedang,6,4,Kompres dingin area dahi saat mengalami pusing akibat perubahan sirkulasi darah.,Higienitas & Self-Care
3,Trimester 1,Risiko Sedang,6,5,Pastikan persediaan obat resep dan vitamin mencukupi hingga jadwal konsultasi dokter berikutnya.,Persiapan Praktis
3,Trimester 1,Risiko Sedang,7,1,Minum susu kedelai hangat non-gula sebelum masuk jam tidur malam.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Sedang,7,2,Tata ulang kotak obat harian dan catat suplemen yang perlu ditebus ulang ke dokter.,Vitamin & Obat
3,Trimester 1,Risiko Sedang,7,3,Tidur malam teratur dengan posisi miring kiri berbantal empuk di antara paha.,Aktivitas & Istirahat
3,Trimester 1,Risiko Sedang,7,4,Pijat lembut telapak kaki dengan minyak aroma terapi ringan sebelum beristirahat.,Higienitas & Self-Care
3,Trimester 1,Risiko Sedang,7,5,"Siapkan fotokopi KTP, KK, dan kartu BPJS ke dalam map medis kehamilan.",Persiapan Praktis
3,Trimester 1,Risiko Tinggi,1,1,Santap roti sobek gandum lunak dengan teh kamomil hangat encer di tempat tidur.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Tinggi,1,2,Minum obat penguat kandungan progesteron dosis pagi tepat waktu di ranjang.,Vitamin & Obat
3,Trimester 1,Risiko Tinggi,1,3,Tirah baring total di tempat tidur dengan sudut kemiringan kasur yang nyaman.,Aktivitas & Istirahat
3,Trimester 1,Risiko Tinggi,1,4,Seka badan di atas kasur dengan air hangat campuran antiseptik alami yang ramah ibu hamil.,Higienitas & Self-Care
3,Trimester 1,Risiko Tinggi,1,5,Riset RS rujukan tingkat lanjut yang memiliki fasilitas NICU dan ICU maternal dari tempat tidur.,Persiapan Praktis
3,Trimester 1,Risiko Tinggi,2,1,Konsumsi bubur sereal gandum halus dengan potongan kurma lunak di kasur.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Tinggi,2,2,Konsumsi suplemen asam folat dosis tinggi dan multivitamin di tempat tidur.,Vitamin & Obat
3,Trimester 1,Risiko Tinggi,2,3,Lakukan latihan pernapasan diafragma 15 menit tanpa memicu kontraksi di kasur.,Aktivitas & Istirahat
3,Trimester 1,Risiko Tinggi,2,4,Kenakan bra menyusui nirkawat longgar yang nyaman dipakai saat berbaring terus-menerus.,Higienitas & Self-Care
3,Trimester 1,Risiko Tinggi,2,5,Tulis daftar keluhan dan pertanyaan medis di aplikasi catatan ponsel untuk konsultasi dokter.,Persiapan Praktis
3,Trimester 1,Risiko Tinggi,3,1,"Minum air putih berkala 150 ml per 1,5 jam dengan botol bertakar di samping ranjang.",Nutrisi & Hidrasi
3,Trimester 1,Risiko Tinggi,3,2,Minum suplemen anti-mual/lambung resep spesialis sebelum makan siang di kasur.,Vitamin & Obat
3,Trimester 1,Risiko Tinggi,3,3,Pijat lembut telapak tangan sendiri untuk meredakan kekakuan tanpa banyak gerak.,Aktivitas & Istirahat
3,Trimester 1,Risiko Tinggi,3,4,Bersihkan gigi dan gusi di ranjang secara perlahan menggunakan sikat berbulu mikro.,Higienitas & Self-Care
3,Trimester 1,Risiko Tinggi,3,5,Pastikan seluruh dokumen medis penting tertata rapi dalam ordner map di samping ranjang.,Persiapan Praktis
3,Trimester 1,Risiko Tinggi,4,1,Santap makan siang nasi tim saring daging sapi cincang halus dan sari wortel di ranjang.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Tinggi,4,2,Konsumsi obat penguat kandungan dosis tengah hari tepat waktu di ranjang.,Vitamin & Obat
3,Trimester 1,Risiko Tinggi,4,3,Pertahankan istirahat di ranjang dan hindari mengejan saat buang air besar.,Aktivitas & Istirahat
3,Trimester 1,Risiko Tinggi,4,4,Oleskan lotion pelembap intensif pada kulit punggung dan tumit untuk cegah dekubitus di ranjang.,Higienitas & Self-Care
3,Trimester 1,Risiko Tinggi,4,5,Konfirmasi jadwal kunjungan dokter spesialis kandungan subspesialis fetomaternal.,Persiapan Praktis
3,Trimester 1,Risiko Tinggi,5,1,Ngemil agar-agar rumput laut bening lembut tanpa pemanis buatan di sore hari.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Tinggi,5,2,Minum vitamin prenatal pendukung perkembangan janin setelah makan siang di ranjang.,Vitamin & Obat
3,Trimester 1,Risiko Tinggi,5,3,Ganjal kedua tungkai dengan 2 bantal empuk untuk memperlancar aliran darah balik.,Aktivitas & Istirahat
3,Trimester 1,Risiko Tinggi,5,4,Lakukan kebersihan area intim di kasur menggunakan pispot/wadah higienis dan air hangat.,Higienitas & Self-Care
3,Trimester 1,Risiko Tinggi,5,5,Siapkan daftar kontak keluarga inti yang siap siaga 24 jam jika terjadi kegawatdaruratan.,Persiapan Praktis
3,Trimester 1,Risiko Tinggi,6,1,Makan malam bubur ayam lunak tanpa kuah santan dalam posisi sandaran bantal nyaman.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Tinggi,6,2,Konsumsi obat penguat kandungan dosis malam tepat waktu di tempat tidur.,Vitamin & Obat
3,Trimester 1,Risiko Tinggi,6,3,Dengarkan rekaman musik klasik/relaksasi di tempat tidur untuk menurunkan denyut nadi.,Aktivitas & Istirahat
3,Trimester 1,Risiko Tinggi,6,4,Minta pendamping memijat lembut telapak tangan dan jari-jari yang pegal di tempat tidur.,Higienitas & Self-Care
3,Trimester 1,Risiko Tinggi,6,5,Pastikan kursi roda lipat sudah tersedia di rumah untuk mobilisasi kontrol ke RS.,Persiapan Praktis
3,Trimester 1,Risiko Tinggi,7,1,Minum susu formula khusus kehamilan risiko tinggi hangat yang disiapkan di ranjang.,Nutrisi & Hidrasi
3,Trimester 1,Risiko Tinggi,7,2,Verifikasi bersama pendamping bahwa seluruh jadwal obat hari ini telah tuntas diminum.,Vitamin & Obat
3,Trimester 1,Risiko Tinggi,7,3,Tidur malam optimal di kasur dengan bantuan guling penopang seluruh tubuh.,Aktivitas & Istirahat
3,Trimester 1,Risiko Tinggi,7,4,Semprotkan mist hidrosol mawar pada wajah di ranjang untuk menyegarkan suasana istirahat.,Higienitas & Self-Care
3,Trimester 1,Risiko Tinggi,7,5,Periksa kembali kelengkapan surat rujukan faskes tingkat pertama untuk klaim asuransi/BPJS.,Persiapan Praktis
4,Trimester 2,Risiko Rendah,1,1,Awali pagi dengan sarapan bubur kacang hijau tanpa santan kental dan rebusan telur.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Rendah,1,2,Minum tablet tambah darah (Fe) bersama air jeruk manis setelah sarapan.,Vitamin & Obat
4,Trimester 2,Risiko Rendah,1,3,Jalan pagi energik selama 25-30 menit di lingkungan yang hijau dan datar.,Aktivitas & Istirahat
4,Trimester 2,Risiko Rendah,1,4,"Oleskan stretch mark lotion/butter secara merata pada perut, paha, dan payudara sehabis mandi pagi.",Higienitas & Self-Care
4,Trimester 2,Risiko Rendah,1,5,Mulai buat daftar kebutuhan perlengkapan bayi baru lahir (newborn checklist) bersama pasangan.,Persiapan Praktis
4,Trimester 2,Risiko Rendah,2,1,Minum 300 ml air putih ditambah perasan jeruk nipis segar kaya vitamin C.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Rendah,2,2,"Hindari minum tablet zat besi bersamaan dengan teh, kopi, atau susu.",Vitamin & Obat
4,Trimester 2,Risiko Rendah,2,3,"Ikuti sesi yoga hamil prenatal 20 menit (fokus peregangan dada, bahu, dan pinggang).",Aktivitas & Istirahat
4,Trimester 2,Risiko Rendah,2,4,Gunakan pakaian hamil (maternity wear) yang longgar dan nyaman untuk mobilitas harian.,Higienitas & Self-Care
4,Trimester 2,Risiko Rendah,2,5,Beli celana hamil dengan pita karet elastis yang bisa disesuaikan untuk trimester kedua.,Persiapan Praktis
4,Trimester 2,Risiko Rendah,3,1,"Makan siang seporsi dada ayam bakar bumbu kuning, tumis kangkung matang, dan nasi merah.",Nutrisi & Hidrasi
4,Trimester 2,Risiko Rendah,3,2,Minum suplemen kalsium 500 mg pada siang hari dengan jeda 4 jam dari tablet Fe.,Vitamin & Obat
4,Trimester 2,Risiko Rendah,3,3,Istirahat rebahan sejenak 30 menit di siang hari untuk meredakan beban punggung.,Aktivitas & Istirahat
4,Trimester 2,Risiko Rendah,3,4,Mandi dengan air hangat suam-suam kuku dan sabun mandi cair yang kaya pelembap alami.,Higienitas & Self-Care
4,Trimester 2,Risiko Rendah,3,5,Daftar kelas edukasi persiapan persalinan (prenatal class) atau workshop perawatan bayi.,Persiapan Praktis
4,Trimester 2,Risiko Rendah,4,1,Ngemil buah naga merah potong dan segenggam biji labu panggang (pumpkin seeds).,Nutrisi & Hidrasi
4,Trimester 2,Risiko Rendah,4,2,Konsumsi suplemen minyak ikan DHA prenatal setelah makan siang.,Vitamin & Obat
4,Trimester 2,Risiko Rendah,4,3,Latihan senam kegel 3 set untuk mengencangkan otot panggul bawah.,Aktivitas & Istirahat
4,Trimester 2,Risiko Rendah,4,4,Potong kuku tangan dan kaki secara rapi dan jaga kebersihan sela-sela kuku.,Higienitas & Self-Care
4,Trimester 2,Risiko Rendah,4,5,Rencanakan renovasi ringan atau penataan ruang untuk calon kamar/area bayi.,Persiapan Praktis
4,Trimester 2,Risiko Rendah,5,1,"Minum 2,5 liter air mineral untuk mendukung penambahan volume cairan amnion.",Nutrisi & Hidrasi
4,Trimester 2,Risiko Rendah,5,2,Minum multivitamin trimester 2 rutin setiap pagi hari.,Vitamin & Obat
4,Trimester 2,Risiko Rendah,5,3,Lakukan gerakan pelvic tilt (goyangan panggul) berdiri bersandar di dinding 10 kali.,Aktivitas & Istirahat
4,Trimester 2,Risiko Rendah,5,4,Ganti pakaian dalam dan gunakan celana dalam khusus hamil dengan lingkar pinggang rendah di bawah perut.,Higienitas & Self-Care
4,Trimester 2,Risiko Rendah,5,5,"Buat daftar perlengkapan menyusui esensial (pompa ASI, botol kaca, cooler bag).",Persiapan Praktis
4,Trimester 2,Risiko Rendah,6,1,Santap sup bola-bola daging cincang isi telur puyuh matang dan brokoli untuk makan malam.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Rendah,6,2,Konsumsi suplemen vitamin D3 harian untuk mendukung pertumbuhan tulang janin.,Vitamin & Obat
4,Trimester 2,Risiko Rendah,6,3,Jalan santai sore 20 menit bersama keluarga di area terbuka.,Aktivitas & Istirahat
4,Trimester 2,Risiko Rendah,6,4,Gunakan deodoran alami tanpa aluminium dan bebas parfum sintetis menyengat.,Higienitas & Self-Care
4,Trimester 2,Risiko Rendah,6,5,Diskusikan preferensi penolong persalinan (dokter kandungan atau bidan) bersama pasangan.,Persiapan Praktis
4,Trimester 2,Risiko Rendah,7,1,Minum segelas susu hamil rasa cokelat/vanila hangat sebelum waktu istirahat.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Rendah,7,2,Cek sisa tablet tambah darah dan kalsium untuk kebutuhan 2 pekan ke depan.,Vitamin & Obat
4,Trimester 2,Risiko Rendah,7,3,Tidur malam posisi miring kiri menggunakan bantal hamil khusus (maternity pillow).,Aktivitas & Istirahat
4,Trimester 2,Risiko Rendah,7,4,Pijat lembut payudara dengan minyak kelapa murni tanpa menekan area puting.,Higienitas & Self-Care
4,Trimester 2,Risiko Rendah,7,5,Cek kembali kecukupan tabungan persalinan dan pos perlengkapan bayi.,Persiapan Praktis
4,Trimester 2,Risiko Sedang,1,1,Makan sarapan telur orak-arik (scrambled eggs) matang sempurna dan roti gandum utuh.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Sedang,1,2,Minum tablet zat besi (Fe) khusus lambung sensitif sesudah sarapan pagi.,Vitamin & Obat
4,Trimester 2,Risiko Sedang,1,3,Jalan santai pagi di permukaan datar selama 15 menit dengan alas kaki empuk.,Aktivitas & Istirahat
4,Trimester 2,Risiko Sedang,1,4,Aplikasikan minyak almond pada kulit perut dan pinggang sehabis mandi untuk jaga elastisitas kulit.,Higienitas & Self-Care
4,Trimester 2,Risiko Sedang,1,5,Susun wishlist perlengkapan bayi esensial secara daring melalui marketplace bersama pasangan.,Persiapan Praktis
4,Trimester 2,Risiko Sedang,2,1,Minum jus jambu biji merah disaring untuk mendukung penyerapan zat besi alami.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Sedang,2,2,Konsumsi suplemen vitamin C bersama tablet Fe untuk memaksimalkan penyerapan zat besi.,Vitamin & Obat
4,Trimester 2,Risiko Sedang,2,3,Lakukan peregangan panggul lembut sambil duduk di kursi bersandaran tegak.,Aktivitas & Istirahat
4,Trimester 2,Risiko Sedang,2,4,Gunakan celana hamil berpenyangga perut lembut yang tidak menekan lingkar rahim.,Higienitas & Self-Care
4,Trimester 2,Risiko Sedang,2,5,Pesan pakaian hamil yang nyaman dan korset penyangga perut melalui toko online.,Persiapan Praktis
4,Trimester 2,Risiko Sedang,3,1,Makan siang nasi putih pulen dengan semur tahu daging cincang dan sayur bayam rebus segar.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Sedang,3,2,Minum suplemen kalsium 500 mg pada sore hari sesudah makan makanan ringan.,Vitamin & Obat
4,Trimester 2,Risiko Sedang,3,3,Istirahat tidur siang terjadwal 1 jam di tempat tidur yang sejuk.,Aktivitas & Istirahat
4,Trimester 2,Risiko Sedang,3,4,Mandi dengan sabun berbusa lembut dan gunakan alas kaki anti-slip saat melangkah di kamar mandi.,Higienitas & Self-Care
4,Trimester 2,Risiko Sedang,3,5,Ikuti webinar persiapan persalinan dan perawatan bayi secara daring dari rumah.,Persiapan Praktis
4,Trimester 2,Risiko Sedang,4,1,Konsumsi buah pir potong kukus lembut sebagai camilan lambung ramah serat.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Sedang,4,2,Konsumsi suplemen DHA dan vitamin prenatal setelah makan siang.,Vitamin & Obat
4,Trimester 2,Risiko Sedang,4,3,Hindari mengangkat anak balita atau barang belanjaan berat lebih dari 3 kg.,Aktivitas & Istirahat
4,Trimester 2,Risiko Sedang,4,4,Keringkan tubuh dengan handuk lembut dan pastikan area bawah payudara tidak lembap.,Higienitas & Self-Care
4,Trimester 2,Risiko Sedang,4,5,Minta pasangan menata tata letak perabotan rumah agar tidak ada sudut tajam yang membahayakan.,Persiapan Praktis
4,Trimester 2,Risiko Sedang,5,1,"Pantau target minum air putih 2,2 liter bertahap dalam tumbler khusus harian.",Nutrisi & Hidrasi
4,Trimester 2,Risiko Sedang,5,2,Minum suplemen tambahan penunjang hemoglobin sesuai resep dokter spesialis.,Vitamin & Obat
4,Trimester 2,Risiko Sedang,5,3,Duduk santai di atas birth ball (bola yoga) dan lakukan rotasi panggul lembut didampingi pasangan.,Aktivitas & Istirahat
4,Trimester 2,Risiko Sedang,5,4,Ganti pakaian dalam katun secara teratur dan hindari penggunaan celana ketat.,Higienitas & Self-Care
4,Trimester 2,Risiko Sedang,5,5,Diskusikan rencana bantuan pasca persalinan (keluarga/postpartum doula/asisten rumah tangga).,Persiapan Praktis
4,Trimester 2,Risiko Sedang,6,1,Makan malam sup ikan kakap kuah bening bumbu sereh dan perkedel tempe kukus.,Nutrisi & Hidrasi
4,Trimester 2,Risiko Sedang,6,2,Beri jeda 3 jam antara konsumsi tablet kalsium dan obat lambung/zat besi.,Vitamin & Obat
4,Trimester 2,Risiko Sedang,6,3,Rebahkan tubuh di sore hari dengan posisi kaki lebih tinggi dari pinggul selama 20 menit.,Aktivitas & Istirahat
